epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,457.834,2.01138,3.16186,8.14459,1.37886,0,0.70257,0.17045,0.15467,0.067,0.69592,0.15877,0.14232,0.05371,1.73752,2.55573,56.7572,1.14896,0,0.000555516,0.000555516,0.000555516
2,901.635,1.97341,2.94773,6.71714,1.34435,0,0.71872,0.18299,0.17469,0.07754,0.71632,0.17295,0.16432,0.06255,1.6735,2.47933,52.5304,1.12387,0,0.00107451,0.00107451,0.00107451
3,1354.38,1.93463,2.89247,6.44277,1.31911,0,0.73487,0.18577,0.18869,0.08269,0.72543,0.17609,0.17311,0.06541,1.66593,2.47743,37.6085,1.10967,0,0.00155684,0.00155684,0.00155684
4,1806.85,1.89301,2.84963,6.12619,1.29762,0,0.75905,0.20186,0.2161,0.09967,0.74849,0.19114,0.19889,0.08051,1.60015,2.39783,46.4873,1.07789,0,0.00150197,0.00150197,0.00150197
5,2260.56,1.86481,2.81035,5.88051,1.28094,0,0.69512,0.20833,0.21432,0.10304,0.70732,0.19364,0.19744,0.08168,1.57478,2.35834,55.0772,1.0562,0,0.00144696,0.00144696,0.00144696
6,2714.35,1.84436,2.76423,5.74179,1.27047,0,0.75012,0.19747,0.21152,0.10223,0.74979,0.18666,0.19899,0.08393,1.5757,2.34604,22.6969,1.04957,0,0.00139195,0.00139195,0.00139195
7,3167.06,1.82313,2.73954,5.63381,1.26398,0,0.76279,0.21338,0.23122,0.11282,0.75874,0.20124,0.21631,0.0893,1.53721,2.29811,37.0177,1.04065,0,0.00133693,0.00133693,0.00133693
8,3620.48,1.81368,2.70654,5.52494,1.25745,0,0.40502,0.21458,0.23635,0.11303,0.37996,0.20156,0.21725,0.08978,1.54459,2.32337,29.4147,1.04245,0,0.00128192,0.00128192,0.00128192
9,4072.97,1.79925,2.70633,5.48052,1.24715,0,0.77258,0.2193,0.24485,0.12171,0.76959,0.20861,0.22911,0.09784,1.51782,2.26433,39.3974,1.02297,0,0.00122691,0.00122691,0.00122691
10,4522.98,1.78086,2.68782,5.35949,1.24151,0,0.7766,0.2223,0.24741,0.12242,0.76925,0.20938,0.22807,0.09663,1.50094,2.25784,34.5651,1.01872,0,0.0011719,0.0011719,0.0011719
11,4973.08,1.77741,2.67882,5.28967,1.23138,0,0.77501,0.22268,0.24991,0.1241,0.76875,0.21176,0.23274,0.09947,1.50258,2.25239,41.2191,1.01329,0,0.00111689,0.00111689,0.00111689
12,5423.36,1.75929,2.65041,5.15304,1.22539,0,0.77609,0.22616,0.2509,0.12399,0.77448,0.2114,0.23464,0.09986,1.49495,2.25264,43.4036,1.01233,0,0.00106188,0.00106188,0.00106188
13,5874.76,1.74671,2.64458,5.13458,1.21831,0,0.58642,0.23145,0.2595,0.12952,0.58881,0.21904,0.24004,0.10213,1.48707,2.23722,37.3994,1.00723,0,0.00100687,0.00100687,0.00100687
