epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,622.013,1.83444,2.82974,5.68399,1.2705,0,0.04148,0.33144,0.14108,0.06449,0.03943,0.32694,0.14446,0.06151,1.66282,2.52577,6.26055,1.14747,0,0.000555516,0.000555516,0.000555516
2,1267.18,1.81308,2.67726,3.16282,1.26235,0,0.0441,0.32638,0.14116,0.06465,0.04179,0.30927,0.13337,0.0538,1.72395,2.49044,4.71074,1.15919,0,0.00100118,0.00100118,0.00100118
3,1849.6,1.81479,2.64137,2.83132,1.26321,0,0.74838,0.14837,0.16656,0.07623,0.73742,0.14183,0.15456,0.06191,1.67583,2.48338,6.79876,1.13282,0,0.00133681,0.00133681,0.00133681
4,2391.52,1.76553,2.58091,2.70764,1.22905,0,0.72651,0.12621,0.14252,0.06511,0.73219,0.11357,0.13423,0.05322,1.68771,2.45319,3.43831,1.13526,0,0.0011719,0.0011719,0.0011719
5,2933.95,1.71237,2.50966,2.55117,1.19459,0,0.75621,0.17463,0.19387,0.09027,0.75682,0.1686,0.18692,0.07767,1.57789,2.36495,5.44456,1.09104,0,0.00100687,0.00100687,0.00100687
6,3476.37,1.67786,2.44555,2.51249,1.17609,0,0.80156,0.15657,0.20759,0.0999,0.79452,0.15016,0.19487,0.07932,1.56832,2.36757,3.40075,1.08076,0,0.000841835,0.000841835,0.000841835
7,4018.45,1.65408,2.43485,2.33812,1.1622,0,0.77878,0.17878,0.21049,0.1044,0.77645,0.17167,0.19753,0.08431,1.52867,2.31992,5.11679,1.05003,0,0.000676802,0.000676802,0.000676802
8,4576.53,1.62389,2.405,2.22953,1.1421,0,0.78234,0.18987,0.21975,0.10496,0.76733,0.17743,0.19876,0.0803,1.51214,2.28627,3.09578,1.04412,0,0.000511769,0.000511769,0.000511769
9,5122.25,1.5932,2.37203,2.10556,1.1302,0,0.7792,0.215,0.23894,0.11722,0.76807,0.20117,0.21657,0.08916,1.46763,2.23613,6.76246,1.02426,0,0.000346736,0.000346736,0.000346736
10,5649.68,1.56423,2.33656,2.03598,1.11631,0,0.78593,0.21692,0.24551,0.12371,0.77912,0.20439,0.22897,0.09704,1.45514,2.22074,6.17206,1.01659,0,0.000181703,0.000181703,0.000181703
