epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1598.23,1.70911,2.63622,11.9086,1.19172,0,0.67738,0.13595,0.12153,0.05571,0.67959,0.13492,0.11852,0.04766,1.70806,2.54243,22.0903,1.1485,0,0.00999897,0.00333299,0.00999897,0.00333299,0.00999897,0.00333299,0.00999897,0.00333299
2,2761.16,1.76458,2.51934,7.83853,1.20728,0,0.72298,0.13358,0.15117,0.06872,0.72329,0.13118,0.14758,0.05924,1.73576,2.51637,14.4643,1.15499,0,0.019339,0.00644633,0.019339,0.00644633,0.019339,0.00644633,0.019339,0.00644633
3,3835.77,1.80909,2.53923,7.59896,1.23186,0,0.69666,0.13892,0.13565,0.06104,0.69921,0.13347,0.13197,0.054,1.73103,2.52822,15.7064,1.15592,0,0.028019,0.00933968,0.028019,0.00933968,0.028019,0.00933968,0.028019,0.00933968
4,4885.72,1.80756,2.53031,7.36423,1.25127,0,0.71492,0.14578,0.16242,0.07573,0.71528,0.1409,0.15241,0.06121,1.6712,2.44969,14.5212,1.11973,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,5933.71,1.75293,2.47931,6.99168,1.20823,0,0.73553,0.16303,0.1787,0.0849,0.73281,0.15674,0.17095,0.07031,1.62729,2.41621,14.6393,1.11075,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,6982.38,1.71483,2.42359,6.73844,1.17788,0,0.7367,0.16886,0.18403,0.0871,0.73547,0.16199,0.17505,0.07181,1.59403,2.38652,15.7273,1.0784,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,8031.44,1.70061,2.41101,6.6877,1.16981,0,0.7386,0.1724,0.18862,0.09123,0.73892,0.16534,0.17997,0.07504,1.59099,2.36016,12.5637,1.07131,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,9079.13,1.66085,2.37302,6.47733,1.14807,0,0.74681,0.18091,0.19863,0.09621,0.74687,0.17187,0.18837,0.07824,1.56965,2.34163,15.8894,1.06029,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,10127.3,1.64656,2.34251,6.32989,1.144,0,0.74849,0.1799,0.20179,0.09779,0.74553,0.17247,0.19009,0.07878,1.54826,2.3289,13.1236,1.04906,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,11175.6,1.63346,2.32763,6.2356,1.12745,0,0.74574,0.18245,0.20426,0.09921,0.74429,0.17448,0.19284,0.08035,1.54072,2.31511,13.1392,1.04375,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
