epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1812.38,1.53077,2.34503,7.92384,1.13831,0,0.06108,0.27921,0.12516,0.05189,0.0545,0.25871,0.10896,0.0388,1.82886,2.69875,9.25304,1.31273,0,0.000555619,0.000555619,0.000555619
2,3569.37,1.53758,2.25398,6.30208,1.13448,0,0.07315,0.27529,0.1131,0.04869,0.06593,0.25605,0.09853,0.0376,1.7655,2.58476,9.16128,1.25996,0,0.00105628,0.00105628,0.00105628
3,5324.6,1.49198,2.2,5.88276,1.09696,0,0.10743,0.26681,0.1381,0.06586,0.09344,0.24962,0.12225,0.05166,1.67306,2.49847,9.02888,1.18313,0,0.00150192,0.00150192,0.00150192
4,7080.06,1.45941,2.16,5.59876,1.08324,0,0.09836,0.28242,0.1324,0.06479,0.09337,0.26802,0.12095,0.05145,1.64046,2.44778,9.04072,1.16288,0,0.00141945,0.00141945,0.00141945
5,8834.9,1.40559,2.09369,5.35238,1.05356,0,0.1426,0.2679,0.16835,0.08323,0.1285,0.25231,0.15191,0.06288,1.6021,2.43248,8.84008,1.14462,0,0.00133693,0.00133693,0.00133693
6,10588.7,1.36217,2.01575,5.13596,1.03076,0,0.13275,0.30282,0.1845,0.0927,0.12088,0.29007,0.17053,0.07422,1.56524,2.39003,8.72422,1.11002,0,0.00125442,0.00125442,0.00125442
7,12341.8,1.33607,1.98295,4.96195,1.02077,0,0.1527,0.30948,0.17382,0.08987,0.14034,0.2753,0.15765,0.0699,1.56904,2.40721,8.95392,1.09889,0,0.0011719,0.0011719,0.0011719
8,14094.2,1.30725,1.95689,4.81536,1.00344,0,0.12327,0.3653,0.17987,0.09154,0.11379,0.32681,0.16217,0.07069,1.51869,2.35073,8.48664,1.08494,0,0.00108938,0.00108938,0.00108938
9,15848.9,1.293,1.94151,4.69395,1.0014,0,0.13578,0.33282,0.18614,0.09722,0.12598,0.30606,0.17133,0.07599,1.50988,2.33101,8.53119,1.07796,0,0.00100687,0.00100687,0.00100687
10,17603.3,1.26853,1.8843,4.5255,0.98281,0,0.13753,0.34733,0.20523,0.10681,0.12698,0.32183,0.18593,0.08221,1.5071,2.31653,8.27585,1.0657,0,0.000924352,0.000924352,0.000924352
11,19249.5,0.89936,1.33051,5.38371,0.6436,0,0.15522,0.34234,0.23258,0.11655,0.13991,0.31907,0.20651,0.08678,1.49951,2.31727,8.24126,1.05972,0,0.000841835,0.000841835,0.000841835
12,20894,0.88371,1.29395,5.22022,0.63465,0,0.16833,0.33356,0.23745,0.12284,0.15146,0.30915,0.20894,0.09119,1.46515,2.28165,8.36479,1.03672,0,0.000759318,0.000759318,0.000759318
13,22539.4,0.87189,1.28086,5.12397,0.62518,0,0.17265,0.33838,0.24592,0.1251,0.15672,0.31494,0.21842,0.09336,1.48398,2.275,8.38491,1.04954,0,0.000676802,0.000676802,0.000676802
14,24184.8,0.85775,1.26293,5.03969,0.61674,0,0.17345,0.34405,0.24273,0.12594,0.15933,0.31896,0.21809,0.09516,1.45749,2.26428,8.43867,1.03141,0,0.000594286,0.000594286,0.000594286
15,25830.9,0.85372,1.25532,5.0178,0.61276,0,0.16953,0.35073,0.25181,0.13041,0.15676,0.32729,0.22731,0.09962,1.46062,2.2564,8.29756,1.03361,0,0.000511769,0.000511769,0.000511769
16,27475.8,0.83707,1.23405,4.9022,0.60322,0,0.18161,0.3441,0.24988,0.12947,0.16539,0.31956,0.22377,0.09774,1.45694,2.24996,8.32506,1.03573,0,0.000429253,0.000429253,0.000429253
17,29119.6,0.83206,1.23437,4.81876,0.60478,0,0.17969,0.35123,0.2551,0.13207,0.1612,0.3212,0.22722,0.09895,1.45094,2.24093,8.26739,1.03389,0,0.000346736,0.000346736,0.000346736
18,30765.4,0.8242,1.21257,4.77312,0.59959,0,0.18339,0.35763,0.25754,0.1342,0.16686,0.32823,0.23118,0.10202,1.46226,2.23199,8.33997,1.04021,0,0.00026422,0.00026422,0.00026422
19,32414.8,0.81342,1.20028,4.68466,0.59422,0,0.18772,0.36389,0.26018,0.13695,0.17096,0.33232,0.23365,0.10339,1.45265,2.22865,8.35214,1.0328,0,0.000181703,0.000181703,0.000181703
20,34174.5,0.81268,1.20191,4.62203,0.5912,0,0.18961,0.36446,0.25694,0.13549,0.17305,0.33215,0.23127,0.10301,1.46148,2.23041,8.4068,1.03583,0,9.91865e-05,9.91865e-05,9.91865e-05
