epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,350.438,1.86444,3.12494,1.88904,1.33662,0,0.29433,0.25463,0.22518,0.09927,0.28577,0.24837,0.21396,0.0829,1.61891,2.42473,20.7064,1.05453,0,0.000555255,0.000555255,0.000555255
2,709.951,1.77971,2.88036,1.65309,1.26407,0,0.32383,0.27395,0.24386,0.11745,0.29667,0.24331,0.21233,0.08401,1.50533,2.29247,23.9271,0.99028,0,0.00100094,0.00100094,0.00100094
3,1067.61,1.71606,2.77686,1.54895,1.232,0,0.35996,0.29814,0.27133,0.1299,0.32665,0.27138,0.22938,0.08902,1.46135,2.28109,30.4445,0.96719,0,0.0013366,0.0013366,0.0013366
4,1425.88,1.66292,2.69615,1.46309,1.20607,0,0.35507,0.31009,0.27527,0.13247,0.35046,0.27851,0.25642,0.10507,1.4703,2.26049,50.4296,0.97098,0,0.0011719,0.0011719,0.0011719
5,1810.88,1.59803,2.61129,1.37886,1.17392,0,0.38102,0.30961,0.28715,0.14185,0.3482,0.29811,0.2652,0.10858,1.42318,2.18172,8.25072,0.95058,0,0.00100687,0.00100687,0.00100687
6,2194.36,1.54809,2.52817,1.30055,1.14924,0,0.37096,0.34235,0.30425,0.15261,0.3405,0.31381,0.2671,0.10749,1.38419,2.13882,22.8229,0.93328,0,0.000841835,0.000841835,0.000841835
7,2584.43,1.5047,2.45376,1.24084,1.13006,0,0.4077,0.33479,0.30963,0.15732,0.38268,0.30299,0.27218,0.11174,1.36845,2.14422,17.2612,0.92571,0,0.000676802,0.000676802,0.000676802
8,2964.77,1.46159,2.39994,1.18778,1.1119,0,0.42216,0.32181,0.31729,0.16226,0.38729,0.30493,0.28416,0.1201,1.33499,2.09984,23.8565,0.91535,0,0.000511769,0.000511769,0.000511769
9,3359.99,1.44882,2.3628,1.18654,1.10302,0,0.43381,0.33989,0.33325,0.17125,0.39456,0.31503,0.2903,0.12025,1.32259,2.10002,11.8563,0.90464,0,0.000346736,0.000346736,0.000346736
10,3692.76,1.39515,2.28077,1.09993,1.07844,0,0.44359,0.34578,0.33699,0.17678,0.41079,0.3194,0.297,0.12676,1.30347,2.04605,15.8346,0.89781,0,0.000181703,0.000181703,0.000181703
