epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,287.766,1.93931,3.08839,1.94666,1.28987,0,0.49031,0.21864,0.22127,0.10228,0.36058,0.19614,0.19006,0.07374,1.57317,2.45277,51.1699,1.00535,0,0.000555214,0.000555214,0.000555214
2,555.887,1.81609,2.78207,1.60242,1.20927,0,0.27361,0.2524,0.21886,0.09526,0.24817,0.22668,0.18198,0.06805,1.6106,2.3637,21.6844,1.00906,0,0.0010009,0.0010009,0.0010009
3,834.978,1.78337,2.71948,1.54562,1.18924,0,0.77798,0.22719,0.24827,0.1202,0.74974,0.20295,0.20627,0.08041,1.48788,2.33,17.7594,0.96961,0,0.00133657,0.00133657,0.00133657
4,1113.87,1.74812,2.66185,1.48486,1.16987,0,0.6124,0.24593,0.27125,0.1312,0.59683,0.22684,0.23614,0.0944,1.47185,2.25104,24.5567,0.95259,0,0.0011719,0.0011719,0.0011719
5,1391.67,1.70933,2.61768,1.43106,1.15595,0,0.39346,0.27151,0.28324,0.14445,0.34532,0.24388,0.24066,0.09868,1.40209,2.21687,11.7129,0.92975,0,0.00100687,0.00100687,0.00100687
6,1667.87,1.67484,2.55993,1.38055,1.14116,0,0.46593,0.27185,0.29012,0.15153,0.45129,0.24039,0.25433,0.1077,1.37413,2.17083,15.0852,0.92171,0,0.000841835,0.000841835,0.000841835
7,1944.96,1.63549,2.50284,1.33618,1.12617,0,0.37645,0.31491,0.29828,0.15026,0.34893,0.26645,0.25029,0.10089,1.37588,2.16027,16.623,0.91919,0,0.000676802,0.000676802,0.000676802
8,2223.01,1.6144,2.47359,1.31177,1.1184,0,0.38498,0.33172,0.31275,0.16154,0.3503,0.29888,0.27342,0.11354,1.33966,2.11037,13.1668,0.90849,0,0.000511769,0.000511769,0.000511769
9,2489.01,1.63849,2.4648,1.35,1.1211,0,0.39944,0.31805,0.31211,0.16248,0.37716,0.28482,0.2703,0.11286,1.33891,2.10519,18.517,0.90052,0,0.000346736,0.000346736,0.000346736
10,2753.75,1.61491,2.42842,1.32979,1.10801,0,0.38783,0.34519,0.32288,0.16962,0.35243,0.3021,0.27658,0.11682,1.32487,2.08178,20.6269,0.8954,0,0.000181703,0.000181703,0.000181703
