epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1846.13,1.91319,3.01364,9.95119,1.32715,0,0.71214,0.1784,0.15783,0.06083,0.69052,0.16882,0.13247,0.04376,1.7053,2.5495,110.376,1.16586,0,0.000555383,0.000555383,0.000555383
2,3765.87,1.86151,2.81826,8.51264,1.28759,0,0.76188,0.20624,0.21245,0.09322,0.76767,0.19929,0.20001,0.08029,1.59943,2.37254,102.565,1.07917,0,0.00103772,0.00103772,0.00103772
3,4896.95,1.8388,2.76924,8.28311,1.27616,0,0.77035,0.22047,0.22499,0.10445,0.76863,0.20971,0.21249,0.08621,1.55462,2.33805,118.47,1.06534,0,0.00144671,0.00144671,0.00144671
4,5404.48,1.80721,2.72281,8.04124,1.25391,0,0.77256,0.2309,0.23712,0.11228,0.77334,0.22528,0.22928,0.09802,1.50845,2.28679,75.0947,1.05641,0,0.00133693,0.00133693,0.00133693
5,5916.37,1.76942,2.66988,7.74623,1.23576,0,0.49099,0.22823,0.23718,0.11192,0.45775,0.21441,0.21669,0.08952,1.50402,2.26512,29.3778,1.0331,0,0.00122691,0.00122691,0.00122691
6,6448.56,1.80917,2.6637,13.6616,1.24475,0,0.36837,0.11086,0.1398,0.06506,0.35909,0.10673,0.12877,0.05337,1.52517,2.30757,11.4194,1.05197,0,0.00111689,0.00111689,0.00111689
7,7192.14,1.78202,2.63156,12.9723,1.23603,0,0.77799,0.23053,0.24006,0.11897,0.76803,0.21755,0.22001,0.09355,1.46314,2.24368,59.4687,1.01829,0,0.00100687,0.00100687,0.00100687
8,8910.72,1.77359,2.6247,12.5212,1.22843,0,0.39144,0.21203,0.23717,0.11641,0.33787,0.19908,0.21332,0.08924,1.44672,2.20791,19.1305,1.01152,0,0.000896846,0.000896846,0.000896846
9,10813.4,1.75928,2.61125,11.8066,1.22422,0,0.79449,0.24456,0.26921,0.12922,0.77907,0.23015,0.24052,0.09831,1.45379,2.20979,81.0099,1.00881,0,0.000786824,0.000786824,0.000786824
10,12678.4,1.72578,2.55327,12.317,1.20404,0,0.42475,0.27699,0.2745,0.13439,0.38638,0.25709,0.2445,0.10166,1.43326,2.18497,25.079,0.99842,0,0.000676802,0.000676802,0.000676802
11,14549.5,1.71149,2.53653,11.4244,1.20373,0,0.45695,0.28685,0.28424,0.13866,0.40153,0.26534,0.2523,0.10288,1.42015,2.16064,29.3636,0.99813,0,0.00056678,0.00056678,0.00056678
12,16422.2,1.68952,2.49155,11.1208,1.19147,0,0.47205,0.27099,0.28408,0.13894,0.51263,0.24979,0.25515,0.10604,1.40666,2.14511,31.1037,0.98636,0,0.000456758,0.000456758,0.000456758
13,18299,1.66798,2.4648,12.0599,1.17905,0,0.46109,0.29576,0.29422,0.1469,0.45618,0.27,0.26659,0.11361,1.38095,2.1276,43.6309,0.96898,0,0.000346736,0.000346736,0.000346736
14,20178.6,1.64537,2.4412,10.3925,1.1684,0,0.44569,0.30276,0.30065,0.15158,0.40576,0.28881,0.27542,0.11838,1.37432,2.11636,39.7032,0.97085,0,0.000236714,0.000236714,0.000236714
15,22055.1,1.6195,2.40606,11.027,1.15865,0,0.42533,0.3145,0.30562,0.15622,0.40228,0.29273,0.28122,0.12176,1.36463,2.09879,34.8358,0.96671,0,0.000126692,0.000126692,0.000126692
