epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,284.967,1.79743,2.74794,3.30391,1.23793,0,0.16572,0.12747,0.09301,0.03584,0.15006,0.11995,0.08402,0.02876,2.01146,3.34038,159.971,1.39472,0,0.00332863,0.00332863,0.0700423
2,563.688,1.71152,2.55156,2.90116,1.19151,0,0.25337,0.18122,0.15638,0.06299,0.21911,0.17789,0.15767,0.06194,1.79241,2.66078,132.832,1.19905,0,0.00600243,0.00600243,0.0393828
3,830.675,1.64082,2.47077,2.74759,1.16914,0,0.27951,0.21964,0.19494,0.09033,0.24634,0.19777,0.1781,0.07257,1.60128,2.40465,54.6467,1.08695,0,0.00801623,0.00801623,0.00806324
4,1104.12,1.59941,2.39636,2.63126,1.14424,0,0.47072,0.22905,0.23985,0.11226,0.45356,0.21626,0.21761,0.08629,1.51658,2.317,72.2518,1.04817,0,0.00703,0.00703,0.00703
5,1375.4,1.53996,2.33496,2.50173,1.12148,0,0.31094,0.25217,0.24034,0.1144,0.31996,0.23235,0.2205,0.08975,1.50708,2.28862,52.079,1.04585,0,0.00604,0.00604,0.00604
6,1647.42,1.4993,2.28691,2.42396,1.1081,0,0.31677,0.26003,0.23624,0.11449,0.29797,0.23059,0.21035,0.08452,1.48088,2.32519,48.9346,1.02555,0,0.00505,0.00505,0.00505
7,1918.31,1.46688,2.238,2.33247,1.09182,0,0.41387,0.24168,0.2534,0.1208,0.35657,0.22771,0.23552,0.09842,1.52021,2.30061,50.6126,1.03883,0,0.00406,0.00406,0.00406
8,2187.58,1.44234,2.2053,2.27253,1.08288,0,0.37794,0.29165,0.27903,0.13771,0.36341,0.26621,0.25217,0.10619,1.43064,2.19414,37.3362,1.00205,0,0.00307,0.00307,0.00307
9,2442.84,1.68646,2.55,2.84941,1.19201,0,0.39251,0.28821,0.2812,0.13727,0.38844,0.26523,0.25921,0.11169,1.41577,2.19048,64.8786,0.99054,0,0.00208,0.00208,0.00208
10,2658.56,1.64019,2.48112,2.68419,1.16449,0,0.47953,0.27022,0.29361,0.14914,0.44494,0.25706,0.26908,0.11589,1.3663,2.13556,44.7857,0.96931,0,0.00109,0.00109,0.00109
