epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1445.89,1.86009,2.89354,2.9411,1.29706,0,0.72093,0.18156,0.17064,0.07928,0.72566,0.17969,0.17306,0.07056,1.61768,2.38316,46.4665,1.07654,0,0.00999753,0.00333251,0.00999753,0.00333251,0.00999753,0.00333251,0.00999753,0.00333251
2,2711.68,1.86467,2.71555,2.25813,1.27073,0,0.73617,0.19839,0.19358,0.09036,0.73854,0.19337,0.18734,0.07598,1.58903,2.32708,35.1634,1.06457,0,0.0193376,0.00644587,0.0193376,0.00644587,0.0193376,0.00644587,0.0193376,0.00644587
3,3921.57,1.90859,2.73695,2.22069,1.30756,0,0.74429,0.20223,0.19834,0.09067,0.74823,0.19638,0.19542,0.08092,1.60362,2.33006,33.8088,1.08865,0,0.0280177,0.00933923,0.0280177,0.00933923,0.0280177,0.00933923,0.0280177,0.00933923
4,5116.54,1.87285,2.65761,2.13538,1.28995,0,0.75631,0.20414,0.20915,0.10109,0.75896,0.19795,0.20365,0.08768,1.5333,2.27379,25.5632,1.05325,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,6311.05,1.81787,2.61352,1.9831,1.26599,0,0.77844,0.22048,0.23291,0.11368,0.77456,0.21142,0.22097,0.09463,1.4706,2.21273,33.9561,1.01481,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,7519.18,1.76511,2.57049,1.96029,1.23587,0,0.78884,0.22893,0.24744,0.12249,0.78714,0.21612,0.23359,0.10132,1.45271,2.16772,22.8367,1.00607,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,8747,1.74201,2.52783,1.90779,1.21346,0,0.79025,0.23979,0.25836,0.12998,0.78471,0.22799,0.24375,0.10645,1.42502,2.14601,25.1181,0.99108,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,10023.6,1.71935,2.48781,1.85596,1.20413,0,0.79379,0.23696,0.26306,0.1322,0.79028,0.22486,0.24601,0.10673,1.41357,2.12519,24.4275,0.98486,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,11297.9,1.69761,2.47932,1.80327,1.19457,0,0.7983,0.24601,0.27347,0.13803,0.79253,0.23167,0.25553,0.11216,1.39254,2.11214,21.0706,0.97511,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,12572.5,1.68073,2.44691,1.78445,1.17892,0,0.79952,0.24826,0.27592,0.14002,0.7971,0.23438,0.25861,0.11333,1.38106,2.09722,22.2226,0.96565,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,13867,1.66047,2.42229,1.73327,1.17833,0,0.80624,0.24965,0.28138,0.14419,0.80171,0.23455,0.26316,0.11509,1.37089,2.07988,22.2941,0.96384,0,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,15170,1.65422,2.42194,1.69106,1.17471,0,0.80553,0.25514,0.28652,0.14692,0.79757,0.24121,0.26742,0.11744,1.36427,2.07198,21.0347,0.95953,0,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,16479.8,1.64729,2.40435,1.66447,1.17207,0,0.81182,0.25575,0.29258,0.14968,0.80791,0.23785,0.2702,0.11894,1.35497,2.06349,21.8232,0.95517,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,17790.5,1.63245,2.39544,1.68764,1.16499,0,0.81367,0.25629,0.29613,0.15207,0.80522,0.24012,0.27278,0.12076,1.34714,2.05616,21.0067,0.95148,0,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,19058.4,1.6161,2.38464,1.62241,1.15792,0,0.61357,0.26232,0.29675,0.15286,0.56775,0.24423,0.27259,0.12101,1.34241,2.04744,20.3669,0.9503,0,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,20292.2,1.60582,2.36317,1.61111,1.15599,0,0.65515,0.26741,0.29809,0.15445,0.70335,0.2454,0.27496,0.12216,1.33802,2.04467,20.3775,0.94807,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,21516.9,1.60274,2.35211,1.5878,1.14791,0,0.58836,0.27298,0.29879,0.15526,0.62238,0.25525,0.2763,0.12303,1.3337,2.0392,19.4131,0.94579,0,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,22738.2,1.58411,2.33996,1.57577,1.14637,0,0.53596,0.27009,0.30036,0.15597,0.6893,0.25451,0.27786,0.12374,1.3304,2.03464,19.1292,0.9442,0,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,23957.5,1.58044,2.33256,1.54811,1.14004,0,0.52148,0.27156,0.30222,0.15751,0.63603,0.25571,0.28043,0.12546,1.32764,2.03018,19.2471,0.94305,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,25176.9,1.56893,2.33279,1.54276,1.13904,0,0.56399,0.27256,0.30394,0.15807,0.63311,0.2566,0.28154,0.12586,1.3256,2.02735,19.2819,0.94203,0,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,26402,1.56321,2.31445,1.52149,1.13169,0,0.53004,0.27397,0.30473,0.15877,0.6144,0.25798,0.28221,0.12638,1.32433,2.02629,19.2955,0.94095,0,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,27619.5,1.55518,2.29919,1.51613,1.1276,0,0.54251,0.27822,0.30612,0.15934,0.64436,0.26056,0.28323,0.12667,1.32321,2.02331,19.1641,0.94006,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,28849,1.54023,2.27665,1.47689,1.11827,0,0.53856,0.28022,0.30746,0.16018,0.62101,0.26229,0.28448,0.12704,1.32223,2.02083,19.0562,0.93907,0,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,30079.9,1.5361,2.28153,1.47346,1.11876,0,0.52952,0.28085,0.30806,0.16061,0.61589,0.26457,0.28542,0.12751,1.32099,2.01908,19.0371,0.93822,0,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,31299.6,1.52455,2.26925,1.4744,1.11117,0,0.56846,0.28562,0.30923,0.16118,0.63433,0.26481,0.28643,0.12794,1.31958,2.0176,18.9121,0.93733,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,32497.5,1.28839,1.85068,1.46818,0.93509,0,0.56291,0.28763,0.30964,0.16132,0.64501,0.26991,0.28673,0.12819,1.31821,2.01536,18.0541,0.93634,0,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,33640.3,1.30762,1.8834,1.43316,0.94301,0,0.562,0.28863,0.31013,0.16157,0.61992,0.26966,0.28738,0.12856,1.31611,2.01346,17.1381,0.93533,0,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,34782.1,1.28318,1.85015,1.34573,0.92761,0,0.57851,0.2878,0.31058,0.16196,0.61495,0.26972,0.28846,0.12886,1.3152,2.01126,16.3811,0.93461,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,35927.3,1.27738,1.84138,1.29908,0.92445,0,0.58382,0.28685,0.31059,0.16252,0.62137,0.27065,0.28927,0.12903,1.31419,2.00858,15.698,0.93392,0,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,37073,1.2642,1.82071,1.28709,0.92415,0,0.57573,0.28767,0.31106,0.16291,0.61387,0.27312,0.29011,0.12939,1.31313,2.008,15.0994,0.9331,0,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
