epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,329.479,1.43749,2.11201,1.08453,1.04253,0,0.44738,0.33599,0.33289,0.17464,0.41835,0.3011,0.2952,0.12898,1.34772,2.09672,9.76561,0.92075,0,0.000555275,0.000555275,0.000555275
2,652.963,1.54157,2.24345,1.22381,1.08331,0,0.39495,0.3327,0.31479,0.15746,0.35477,0.29707,0.2594,0.10206,1.35836,2.08959,8.86269,0.92676,0,0.00100096,0.00100096,0.00100096
3,975.564,1.58074,2.29823,1.2706,1.10021,0,0.3947,0.34451,0.31776,0.16563,0.36197,0.30555,0.27455,0.11287,1.37619,2.13395,5.51686,0.93806,0,0.00133662,0.00133662,0.00133662
4,1319.3,1.55761,2.27513,1.24045,1.09322,0,0.40368,0.34752,0.33649,0.17395,0.38045,0.31712,0.29191,0.12116,1.34119,2.08092,5.47759,0.91524,0,0.0011719,0.0011719,0.0011719
5,1647.86,1.53714,2.22646,1.19442,1.08114,0,0.42069,0.33909,0.33316,0.1731,0.394,0.3103,0.29301,0.12185,1.32728,2.09353,9.4142,0.90503,0,0.00100687,0.00100687,0.00100687
6,1970.33,1.50242,2.19214,1.15297,1.07341,0,0.43467,0.34711,0.3443,0.17934,0.40111,0.3157,0.29573,0.12381,1.30422,2.08649,5.30467,0.90619,0,0.000841835,0.000841835,0.000841835
7,2292.51,1.48374,2.17058,1.10977,1.06231,0,0.43852,0.3636,0.35772,0.19205,0.4622,0.31123,0.31676,0.13673,1.28258,2.00697,5.79649,0.89579,0,0.000676802,0.000676802,0.000676802
8,2633.9,1.45378,2.12923,1.082,1.04867,0,0.42634,0.36444,0.35071,0.18805,0.39771,0.32065,0.30433,0.13269,1.28409,2.02241,8.79811,0.89336,0,0.000511769,0.000511769,0.000511769
9,2956.01,1.43239,2.08724,1.03793,1.04138,0,0.46112,0.36704,0.36552,0.19769,0.42475,0.33263,0.32019,0.13961,1.271,2.01511,5.78601,0.88954,0,0.000346736,0.000346736,0.000346736
10,3310.44,1.40472,2.05419,1.02122,1.03183,0,0.45057,0.36992,0.36779,0.19744,0.40754,0.3371,0.3196,0.13803,1.26915,2.02949,4.2765,0.88606,0,0.000181703,0.000181703,0.000181703
