epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1017.11,1.80868,3.23084,1.92124,1.35151,0,0.35125,0.30185,0.26877,0.13147,0.33504,0.27323,0.23473,0.09339,1.44544,2.2986,20.0712,0.97194,0,0.00999676,0.00333225,0.00999676,0.00333225,0.00999676,0.00333225,0.00999676,0.00333225
2,1877.34,1.71783,2.90511,1.6276,1.26345,0,0.34092,0.29379,0.26014,0.12975,0.31623,0.27342,0.23668,0.10011,1.48537,2.32588,22.357,0.9859,0,0.0197988,0.0065996,0.0197988,0.0065996,0.0197988,0.0065996,0.0197988,0.0065996
3,2695.07,1.75554,2.92006,1.63912,1.2742,0,0.34211,0.28286,0.25837,0.12789,0.32335,0.26105,0.22811,0.09005,1.50365,2.30383,5.7221,0.97985,0,0.0294028,0.00980094,0.0294028,0.00980094,0.0294028,0.00980094,0.0294028,0.00980094
4,3499.85,1.74705,2.8984,1.60915,1.27004,0,0.384,0.30104,0.28295,0.13754,0.34961,0.28672,0.2491,0.10114,1.44919,2.24934,17.712,0.96378,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4303.22,1.69529,2.79774,1.52144,1.23895,0,0.38311,0.30972,0.29427,0.15022,0.35291,0.28823,0.25924,0.10769,1.40722,2.21489,13.5683,0.94932,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,5106.21,1.64559,2.7276,1.45828,1.21625,0,0.41231,0.31669,0.30944,0.15769,0.38253,0.28873,0.26711,0.11064,1.38286,2.18811,8.7615,0.93671,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,5909.01,1.613,2.66091,1.39516,1.1978,0,0.38329,0.33516,0.31819,0.16218,0.36211,0.31328,0.28167,0.11773,1.36424,2.1614,10.8578,0.93035,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,6711.32,1.58281,2.62054,1.35906,1.1859,0,0.42873,0.33439,0.32575,0.16911,0.3924,0.3057,0.28391,0.11848,1.35158,2.13046,10.1834,0.9307,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,7514.55,1.55655,2.57967,1.31772,1.17148,0,0.4112,0.33133,0.32507,0.16812,0.37806,0.30279,0.28128,0.11968,1.35175,2.11713,9.25428,0.9218,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,8316.87,1.5332,2.54075,1.27975,1.15553,0,0.44275,0.35123,0.3401,0.17501,0.40466,0.32159,0.29354,0.12165,1.3402,2.11607,10.5423,0.91662,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,9119.68,1.51471,2.50385,1.24946,1.1462,0,0.43776,0.35954,0.34277,0.17764,0.39338,0.32917,0.29526,0.12407,1.34246,2.10316,9.41604,0.91522,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
